# Surface topography
# POINTS: 2001
229750 -4410
230000 -4410
230250 -4410
230500 -4400
230750 -4400
231000 -4400
231250 -4400
231500 -4390
231750 -4390
232000 -4390
232250 -4390
232500 -4380
232750 -4380
233000 -4380
233250 -4380
233500 -4380
233750 -4380
234000 -4380
234250 -4380
234500 -4380
234750 -4380
235000 -4380
235250 -4390
235500 -4390
235750 -4390
236000 -4390
236250 -4400
236500 -4400
236750 -4400
237000 -4410
237250 -4410
237500 -4420
237750 -4430
238000 -4430
238250 -4440
238500 -4450
238750 -4470
239000 -4480
239250 -4500
239500 -4520
239750 -4530
240000 -4550
240250 -4560
240500 -4580
240750 -4590
241000 -4610
241250 -4620
241500 -4630
241750 -4640
242000 -4650
242250 -4640
242500 -4630
242750 -4630
243000 -4620
243250 -4620
243500 -4620
243750 -4630
244000 -4640
244250 -4650
244500 -4660
244750 -4680
245000 -4690
245250 -4700
245500 -4710
245750 -4720
246000 -4730
246250 -4740
246500 -4760
246750 -4780
247000 -4800
247250 -4820
247500 -4850
247750 -4870
248000 -4890
248250 -4910
248500 -4930
248750 -4850
249000 -4780
249250 -4720
249500 -4660
249750 -4580
250000 -4500
250250 -4520
250500 -4530
250750 -4500
251000 -4470
251250 -4460
251500 -4440
251750 -4440
252000 -4440
252250 -4410
252500 -4380
252750 -4380
253000 -4380
253250 -4380
253500 -4390
253750 -4380
254000 -4360
254250 -4340
254500 -4320
254750 -4280
255000 -4250
255250 -4160
255500 -4070
255750 -3960
256000 -3840
256250 -3730
256500 -3610
256750 -3520
257000 -3440
257250 -3370
257500 -3290
257750 -3190
258000 -3080
258250 -3010
258500 -2940
258750 -2850
259000 -2770
259250 -2680
259500 -2600
259750 -2530
260000 -2450
260250 -2450
260500 -2450
260750 -2490
261000 -2530
261250 -2580
261500 -2630
261750 -2690
262000 -2750
262250 -2810
262500 -2870
262750 -2930
263000 -3000
263250 -3050
263500 -3110
263750 -3170
264000 -3230
264250 -3280
264500 -3340
264750 -3400
265000 -3460
265250 -3510
265500 -3570
265750 -3630
266000 -3680
266250 -3740
266500 -3800
266750 -3850
267000 -3910
267250 -3970
267500 -4020
267750 -4080
268000 -4130
268250 -4190
268500 -4250
268750 -4310
269000 -4370
269250 -4440
269500 -4500
269750 -4560
270000 -4620
270250 -4680
270500 -4730
270750 -4790
271000 -4840
271250 -4900
271500 -4950
271750 -5010
272000 -5060
272250 -5120
272500 -5170
272750 -5220
273000 -5260
273250 -5290
273500 -5320
273750 -5330
274000 -5340
274250 -5360
274500 -5380
274750 -5380
275000 -5380
275250 -5170
275500 -4950
275750 -4570
276000 -4190
276250 -4220
276500 -4250
276750 -4190
277000 -4130
277250 -4110
277500 -4090
277750 -4080
278000 -4060
278250 -4110
278500 -4160
278750 -4090
279000 -4030
279250 -3840
279500 -3660
279750 -3560
280000 -3460
280250 -3400
280500 -3340
280750 -3230
281000 -3120
281250 -3050
281500 -2980
281750 -2860
282000 -2750
282250 -2670
282500 -2600
282750 -2520
283000 -2450
283250 -2360
283500 -2270
283750 -2210
284000 -2140
284250 -2060
284500 -1970
284750 -1880
285000 -1790
285250 -1720
285500 -1660
285750 -1580
286000 -1500
286250 -1390
286500 -1280
286750 -1210
287000 -1150
287250 -1090
287500 -1020
287750 -970
288000 -910
288250 -820
288500 -730
288750 -690
289000 -640
289250 -550
289500 -470
289750 -380
290000 -300
290250 -230
290500 -170
290750 -100
291000 -40
291250 40
291500 110
291750 170
292000 220
292250 270
292500 320
292750 370
293000 430
293250 500
293500 570
293750 640
294000 720
294250 840
294500 970
294750 1110
295000 1250
295250 1310
295500 1380
295750 1480
296000 1570
296250 1690
296500 1800
296750 1850
297000 1900
297250 1950
297500 2000
297750 2070
298000 2140
298250 2210
298500 2280
298750 2330
299000 2370
299250 2450
299500 2530
299750 2630
300000 2720
300250 2780
300500 2840
300750 2890
301000 2940
301250 3050
301500 3160
301750 3270
302000 3390
302250 3450
302500 3510
302750 3560
303000 3600
303250 3670
303500 3740
303750 3870
304000 4000
304250 4060
304500 4130
304750 4190
305000 4250
305250 4310
305500 4380
305750 4430
306000 4480
306250 4460
306500 4450
306750 4430
307000 4410
307250 4390
307500 4370
307750 4350
308000 4330
308250 4310
308500 4290
308750 4270
309000 4250
309250 4230
309500 4210
309750 4190
310000 4170
310250 4160
310500 4140
310750 4120
311000 4100
311250 4080
311500 4060
311750 4040
312000 4030
312250 4010
312500 3990
312750 3970
313000 3950
313250 3930
313500 3910
313750 3890
314000 3870
314250 3850
314500 3830
314750 3810
315000 3790
315250 3780
315500 3760
315750 3740
316000 3720
316250 3710
316500 3690
316750 3670
317000 3650
317250 3630
317500 3620
317750 3600
318000 3580
318250 3560
318500 3540
318750 3530
319000 3510
319250 3490
319500 3470
319750 3460
320000 3440
320250 3420
320500 3410
320750 3390
321000 3380
321250 3360
321500 3340
321750 3320
322000 3310
322250 3290
322500 3270
322750 3260
323000 3240
323250 3220
323500 3210
323750 3190
324000 3170
324250 3160
324500 3140
324750 3120
325000 3110
325250 3090
325500 3070
325750 3050
326000 3040
326250 3020
326500 3000
326750 2985
327000 2970
327250 2955
327500 2940
327750 2920
328000 2900
328250 2885
328500 2870
328750 2855
329000 2840
329250 2825
329500 2810
329750 2795
330000 2780
330250 2765
330500 2750
330750 2735
331000 2720
331250 2705
331500 2690
331750 2675
332000 2660
332250 2645
332500 2630
332750 2610
333000 2590
333250 2580
333500 2570
333750 2555
334000 2540
334250 2525
334500 2510
334750 2495
335000 2480
335250 2465
335500 2450
335750 2440
336000 2430
336250 2415
336500 2400
336750 2385
337000 2370
337250 2360
337500 2350
337750 2335
338000 2320
338250 2305
338500 2290
338750 2275
339000 2260
339250 2250
339500 2240
339750 2225
340000 2210
340250 2200
340500 2190
340750 2175
341000 2160
341250 2150
341500 2140
341750 2125
342000 2110
342250 2100
342500 2090
342750 2075
343000 2060
343250 2050
343500 2040
343750 2030
344000 2020
344250 2005
344500 1990
344750 1980
345000 1970
345250 1960
345500 1950
345750 1940
346000 1930
346250 1915
346500 1900
346750 1890
347000 1880
347250 1870
347500 1860
347750 1850
348000 1840
348250 1830
348500 1820
348750 1810
349000 1800
349250 1790
349500 1780
349750 1770
350000 1760
350250 1750
350500 1740
350750 1730
351000 1720
351250 1705
351500 1690
351750 1680
352000 1670
352250 1660
352500 1650
352750 1640
353000 1630
353250 1625
353500 1620
353750 1610
354000 1600
354250 1590
354500 1580
354750 1570
355000 1560
355250 1550
355500 1540
355750 1530
356000 1520
356250 1510
356500 1500
356750 1490
357000 1480
357250 1470
357500 1460
357750 1450
358000 1440
358250 1430
358500 1420
358750 1410
359000 1400
359250 1395
359500 1390
359750 1380
360000 1370
360250 1360
360500 1350
360750 1340
361000 1330
361250 1320
361500 1310
361750 1300
362000 1290
362250 1285
362500 1280
362750 1270
363000 1260
363250 1250
363500 1240
363750 1235
364000 1230
364250 1220
364500 1210
364750 1200
365000 1190
365250 1180
365500 1170
365750 1165
366000 1160
366250 1150
366500 1140
366750 1135
367000 1130
367250 1120
367500 1110
367750 1100
368000 1090
368250 1085
368500 1080
368750 1070
369000 1060
369250 1055
369500 1050
369750 1045
370000 1040
370250 1030
370500 1020
370750 1015
371000 1010
371250 1000
371500 990
371750 985
372000 980
372250 975
372500 970
372750 960
373000 950
373250 945
373500 940
373750 930
374000 920
374250 915
374500 910
374750 900
375000 890
375250 885
375500 880
375750 875
376000 870
376250 862.5
376500 855
376750 847.5
377000 840
377250 832.5
377500 825
377750 817.5
378000 810
378250 805
378500 800
378750 795
379000 790
379250 782.5
379500 775
379750 767.5
380000 760
380250 755
380500 750
380750 745
381000 740
381250 732.5
381500 725
381750 717.5
382000 710
382250 702.5
382500 695
382750 687.5
383000 680
383250 675
383500 670
383750 665
384000 660
384250 655
384500 650
384750 645
385000 640
385250 632.5
385500 625
385750 617.5
