# Moho depth
# POINTS: 2001
155500 6778.8
155750 6788
156000 6797.2
156250 6806.57
156500 6815.95
156750 6825.32
157000 6834.7
157250 6844.32
157500 6853.95
157750 6863.57
158000 6873.2
158250 6883.02
158500 6892.85
158750 6902.68
159000 6912.5
159250 6922.55
159500 6932.6
159750 6942.65
160000 6952.7
160250 6963.02
160500 6973.35
160750 6983.68
161000 6994
161250 7004.5
161500 7015
161750 7025.5
162000 7036
162250 7046.57
162500 7057.15
162750 7067.73
163000 7078.3
163250 7089.2
163500 7100.1
163750 7111
164000 7121.9
164250 7133.07
164500 7144.25
164750 7155.43
165000 7166.6
165250 7178.13
165500 7189.65
165750 7201.17
166000 7212.7
166250 7224.57
166500 7236.45
166750 7248.32
167000 7260.2
167250 7272.47
167500 7284.75
167750 7297.03
168000 7309.3
168250 7321.95
168500 7334.6
168750 7347.25
169000 7359.9
169250 7372.97
169500 7386.05
169750 7399.13
170000 7412.2
170250 7425.75
170500 7439.3
170750 7452.85
171000 7466.4
171250 7480.42
171500 7494.45
171750 7508.48
172000 7522.5
172250 7537.02
172500 7551.55
172750 7566.08
173000 7580.6
173250 7595.7
173500 7610.8
173750 7625.9
174000 7641
174250 7656.7
174500 7672.4
174750 7688.1
175000 7703.8
175250 7720.15
175500 7736.5
175750 7752.85
176000 7769.2
176250 7786.22
176500 7803.25
176750 7820.28
177000 7837.3
177250 7855.05
177500 7872.8
177750 7890.55
178000 7908.3
178250 7926.85
178500 7945.4
178750 7963.95
179000 7982.5
179250 8001.55
179500 8020.6
179750 8039.65
180000 8058.7
180250 8078.5
180500 8098.3
180750 8118.1
181000 8137.9
181250 8158.65
181500 8179.4
181750 8200.15
182000 8220.9
182250 8242.67
182500 8264.45
182750 8286.23
183000 8308
183250 8330.83
183500 8353.65
183750 8376.47
184000 8399.3
184250 8423.25
184500 8447.2
184750 8471.15
185000 8495.1
185250 8520.25
185500 8545.4
185750 8570.55
186000 8595.7
186250 8622.08
186500 8648.45
