# LAB depth
# POINTS: 2001
412500 105650
412750 105645
413000 105640
413250 105635
413500 105630
413750 105625
414000 105620
414250 105615
414500 105610
414750 105605
415000 105600
415250 105598
415500 105595
415750 105593
416000 105590
416250 105585
416500 105580
416750 105575
417000 105570
417250 105565
417500 105560
417750 105555
418000 105550
418250 105545
418500 105540
418750 105535
419000 105530
419250 105525
419500 105520
419750 105515
420000 105510
420250 105505
420500 105500
420750 105495
421000 105490
421250 105485
421500 105480
421750 105475
422000 105470
422250 105465
422500 105460
422750 105455
423000 105450
423250 105445
423500 105440
423750 105435
424000 105430
424250 105428
424500 105425
424750 105423
425000 105420
425250 105415
425500 105410
425750 105405
426000 105400
426250 105398
426500 105395
426750 105393
427000 105390
427250 105385
427500 105380
427750 105375
428000 105370
428250 105365
428500 105360
428750 105355
429000 105350
429250 105348
429500 105345
429750 105343
430000 105340
430250 105335
430500 105330
430750 105325
431000 105320
431250 105318
431500 105315
431750 105313
432000 105310
432250 105305
432500 105300
432750 105295
433000 105290
433250 105285
433500 105280
433750 105275
434000 105270
434250 105268
434500 105265
434750 105263
435000 105260
435250 105255
435500 105250
435750 105245
436000 105240
436250 105238
436500 105235
436750 105233
437000 105230
437250 105225
437500 105220
437750 105215
438000 105210
438250 105208
438500 105205
438750 105203
439000 105200
439250 105195
439500 105190
439750 105185
440000 105180
440250 105178
440500 105175
440750 105173
441000 105170
441250 105168
441500 105165
441750 105163
442000 105160
442250 105155
442500 105150
442750 105145
443000 105140
443250 105138
443500 105135
443750 105133
444000 105130
444250 105128
444500 105125
444750 105123
445000 105120
445250 105115
445500 105110
445750 105105
446000 105100
446250 105098
446500 105095
446750 105093
447000 105090
447250 105088
447500 105085
447750 105083
448000 105080
448250 105075
448500 105070
448750 105065
449000 105060
449250 105058
449500 105055
449750 105053
450000 105050
450250 105048
450500 105045
450750 105043
451000 105040
451250 105038
451500 105035
451750 105033
452000 105030
452250 105025
452500 105020
452750 105015
453000 105010
453250 105008
453500 105005
453750 105003
454000 105000
454250 104995
454500 104990
454750 104985
455000 104980
455250 104978
455500 104975
455750 104973
456000 104970
456250 104968
456500 104965
456750 104963
457000 104960
457250 104958
457500 104955
457750 104953
458000 104950
458250 104948
458500 104945
458750 104943
459000 104940
459250 104938
459500 104935
459750 104933
460000 104930
460250 104928
460500 104925
460750 104923
461000 104920
461250 104920
461500 104920
461750 104920
462000 104920
462250 104918
462500 104915
462750 104913
463000 104910
463250 104908
463500 104905
463750 104903
464000 104900
464250 104898
464500 104895
464750 104893
465000 104890
465250 104888
465500 104885
465750 104883
466000 104880
466250 104880
466500 104880
466750 104880
467000 104880
467250 104878
467500 104875
467750 104873
468000 104870
468250 104868
468500 104865
468750 104863
469000 104860
469250 104858
469500 104855
469750 104853
470000 104850
470250 104848
470500 104845
470750 104843
471000 104840
471250 104838
471500 104835
471750 104833
472000 104830
472250 104828
472500 104825
472750 104823
473000 104820
473250 104818
473500 104815
473750 104813
474000 104810
474250 104810
474500 104810
474750 104810
475000 104810
475250 104808
475500 104805
475750 104803
476000 104800
476250 104798
476500 104795
476750 104793
477000 104790
477250 104790
477500 104790
477750 104790
478000 104790
478250 104788
478500 104785
478750 104783
479000 104780
479250 104780
479500 104780
479750 104780
480000 104780
480250 104778
480500 104775
480750 104773
481000 104770
481250 104768
481500 104765
481750 104763
482000 104760
482250 104760
482500 104760
482750 104760
483000 104760
483250 104758
483500 104755
483750 104753
484000 104750
484250 104750
484500 104750
484750 104750
485000 104750
485250 104750
485500 104750
485750 104750
486000 104750
486250 104748
486500 104745
486750 104743
487000 104740
487250 104740
487500 104740
487750 104740
488000 104740
488250 104738
488500 104735
488750 104733
489000 104730
489250 104730
489500 104730
489750 104730
490000 104730
490250 104728
490500 104725
490750 104723
491000 104720
491250 104720
491500 104720
491750 104720
492000 104720
492250 104718
492500 104715
492750 104713
493000 104710
493250 104710
493500 104710
493750 104710
494000 104710
494250 104710
494500 104710
494750 104710
495000 104710
495250 104708
495500 104705
495750 104703
496000 104700
496250 104700
496500 104700
496750 104700
497000 104700
497250 104700
497500 104700
497750 104700
498000 104700
498250 104700
498500 104700
498750 104700
499000 104700
499250 104700
499500 104700
499750 104700
500000 104700

